Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
mousemove,Page,2024-01-20T12:06:15.358Z,,,Chrome,120.0.0.0,5113.299999713898,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:17.689Z,,False,False,False,False,564.0,336.0,
mousemove,Page,2024-01-20T12:06:13.032Z,,,Chrome,120.0.0.0,2787.599999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:13.032Z,,False,False,False,False,853.0,574.0,
mousemove,Page,2024-01-20T12:06:12.719Z,,,Chrome,120.0.0.0,2473.7999997138977,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:13.032Z,,False,False,False,False,832.0,469.0,
mousemove,Page,2024-01-20T12:06:11.260Z,,,Chrome,120.0.0.0,1015.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:12.719Z,,False,False,False,False,912.0,1.0,
mousemove,Page,2024-01-20T12:05:50.033Z,,,Chrome,120.0.0.0,7040.799999713898,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:50.033Z,,False,False,False,False,165.0,58.0,
click,Page,2024-01-20T12:05:46.576Z,,,Chrome,120.0.0.0,3584.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:46.576Z,,False,False,False,False,670.0,121.0,
session_end,Page,2024-01-20T12:05:46.517Z,,,Chrome,120.0.0.0,3525.4000000953674,1536,864.0,,,,2024-01-20T12:05:46.044Z,2024-01-20T17:35:46.517Z,False,False,False,False,,,
mousemove,Page,2024-01-20T12:05:46.044Z,,,Chrome,120.0.0.0,3051.7999997138977,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:46.044Z,,False,False,False,False,670.0,121.0,
click,Page,2024-01-20T12:05:45.586Z,,,Chrome,120.0.0.0,2594.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:46.044Z,,False,False,False,False,670.0,117.0,
mousemove,Page,2024-01-20T12:05:45.163Z,,,Chrome,120.0.0.0,2171.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:45.586Z,,False,False,False,False,670.0,117.0,
mousemove,Page,2024-01-20T12:05:44.166Z,,,Chrome,120.0.0.0,1174.1999998092651,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:05:45.163Z,,False,False,False,False,605.0,409.0,
